,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Major Group,ISCO Minor Code (TR),"Match Score (Exact = 1, Similar = 2) ",Matched to title instead of direct title,He/She is a <occupation>. / O bir <meslek>.,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,
,,,,,,,,,,,very good,good,bad,very bad
,,,,,,,,,,O bir ,çok iyi,iyi,kötü,çok kötü
11-1011,11,1011,Chief Executives,Admiral,110.07,1,Oramiral,1,,O bir oramiral.,O çok iyi bir oramiral.,O iyi bir oramiral.,O kötü bir oramiral.,O çok kötü bir oramiral.
11-1011,11,1011,Chief Executives,Chief Executive Officer,1120.42,1,Tepe Yönetici-icra Kurulu Başkanı,1,,O bir tepe yönetici-icra kurulu başkanı.,O çok iyi bir tepe yönetici-icra kurulu başkanı.,O iyi bir tepe yönetici-icra kurulu başkanı.,O kötü bir tepe yönetici-icra kurulu başkanı.,O çok kötü bir tepe yönetici-icra kurulu başkanı.
11-1011,11,1011,Chief Executives,Chief Financial Officer,1120.43,1,Tepe Yönetici-Mali işlerden Sorumlu,1,,O bir tepe yönetici-mali işlerden sorumlu.,O çok iyi bir tepe yönetici-mali işlerden sorumlu.,O iyi bir tepe yönetici-mali işlerden sorumlu.,O kötü bir tepe yönetici-mali işlerden sorumlu.,O çok kötü bir tepe yönetici-mali işlerden sorumlu.
11-1011,11,1011,Chief Executives,Governor,1112.17,1,Vali,1,,O bir vali.,O çok iyi bir vali.,O iyi bir vali.,O kötü bir vali.,O çok kötü bir vali.
11-1011,11,1011,Chief Executives,Mayor,1111.06,1,Belediye Başkanı,1,,O bir belediye başkanı.,O çok iyi bir belediye başkanı.,O iyi bir belediye başkanı.,O kötü bir belediye başkanı.,O çok kötü bir belediye başkanı.
11-1011,11,1011,Chief Executives,University President,1120.49,1,Rektör,1,,O bir rektör.,O çok iyi bir rektör.,O iyi bir rektör.,O kötü bir rektör.,O çok kötü bir rektör.
11-1021,11,1021,General and Operations Managers,Department Store Manager,1420.04,1,Mağaza Müdürü,1,,O bir mağaza müdürü.,O çok iyi bir mağaza müdürü.,O iyi bir mağaza müdürü.,O kötü bir mağaza müdürü.,O çok kötü bir mağaza müdürü.
11-1021,11,1021,General and Operations Managers,General Manager,1112.05,1,Genel Müdür,1,,O bir genel müdür.,O çok iyi bir genel müdür.,O iyi bir genel müdür.,O kötü bir genel müdür.,O çok kötü bir genel müdür.
11-1021,11,1021,General and Operations Managers,Operations Manager,1221.09,1,Operasyon Yöneticisi,1,,O bir operasyon yöneticisi.,O çok iyi bir operasyon yöneticisi.,O iyi bir operasyon yöneticisi.,O kötü bir operasyon yöneticisi.,O çok kötü bir operasyon yöneticisi.
11-1031,11,1031,Legislators,Senator,1111.05,1,Milletvekili,1,,O bir milletvekili.,O çok iyi bir milletvekili.,O iyi bir milletvekili.,O kötü bir milletvekili.,O çok kötü bir milletvekili.
11-2011,11,2011,Advertising and Promotions Managers,Advertising Manager,1222.01,1,Reklam Yönetici,1,,O bir reklam yönetici.,O çok iyi bir reklam yönetici.,O iyi bir reklam yönetici.,O kötü bir reklam yönetici.,O çok kötü bir reklam yönetici.
11-2021,11,2021,Marketing Managers,,1221.08,1,Pazarlama Müdürü,1,Y,O bir pazarlama müdürü.,O çok iyi bir pazarlama müdürü.,O iyi bir pazarlama müdürü.,O kötü bir pazarlama müdürü.,O çok kötü bir pazarlama müdürü.
11-2022,11,2022,Sales Managers,Export Manager,1221.1,1,ithalat-ihracat Müdürü,2,,O bir ithalat-ihracat müdürü.,O çok iyi bir ithalat-ihracat müdürü.,O iyi bir ithalat-ihracat müdürü.,O kötü bir ithalat-ihracat müdürü.,O çok kötü bir ithalat-ihracat müdürü.
11-2022,11,2022,Sales Managers,,1221.06,1,Satış Müdürü,1,Y,O bir satış müdürü.,O çok iyi bir satış müdürü.,O iyi bir satış müdürü.,O kötü bir satış müdürü.,O çok kötü bir satış müdürü.
