Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
11-1011,Chief Executives,Admiral,x,
11-1011,Chief Executives,CEO,,
11-1011,Chief Executives,Chief Executive Officer,,
11-1011,Chief Executives,Chief Financial Officer,x,
11-1011,Chief Executives,Chief Operating Officer,x,
11-1011,Chief Executives,Chief Sustainability Officer,,
11-1011,Chief Executives,Commissioner of Internal Revenue,,
11-1011,Chief Executives,COO,,
11-1011,Chief Executives,County Commissioner,,
11-1011,Chief Executives,Government Service Executive,,
11-1011,Chief Executives,Governor,x,
11-1011,Chief Executives,Mayor,,
11-1011,Chief Executives,School Superintendent,x,
11-1011,Chief Executives,University President,x,
11-1021,General and Operations Managers,Department Store General Manager,,
11-1021,General and Operations Managers,Department Store Manager,x,
11-1021,General and Operations Managers,General Manager,,
11-1021,General and Operations Managers,General Superintendent,x,
11-1021,General and Operations Managers,Manufacturing Operations Manager,,
11-1021,General and Operations Managers,Operational Risk Manager,x,
11-1021,General and Operations Managers,Operations Manager,,
11-1021,General and Operations Managers,Radio Station Manager,x,
11-1021,General and Operations Managers,Television Store Manager,,
11-1031,Legislators,City Alderman,,
11-1031,Legislators,City Council Member,x,
11-1031,Legislators,Congressional Representative,,
11-1031,Legislators,Councilor,,
11-1031,Legislators,Legislator,,
11-1031,Legislators,Member of Congress,,
11-1031,Legislators,Selectman,,
11-1031,Legislators,Senator,x,
11-1031,Legislators,Tribal Council Member,x,
11-2011,Advertising and Promotions Managers,Advertising Director,x,
11-2011,Advertising and Promotions Managers,Advertising Executive,x,
11-2011,Advertising and Promotions Managers,Advertising Manager,,
11-2011,Advertising and Promotions Managers,Classified Advertising Manager,,
11-2011,Advertising and Promotions Managers,Promotions Director,x,
11-2011,Advertising and Promotions Managers,Promotions Manager,,
11-2011,Advertising and Promotions Managers,VP Advertising,,
11-2011,Advertising and Promotions Managers,VP Promotions,,
11-2021,Marketing Managers,Internet Marketing Manager,x,
11-2021,Marketing Managers,Marketing Administrator,x,
11-2021,Marketing Managers,Marketing Director,x,
11-2021,Marketing Managers,VP Marketing,,
11-2022,Sales Managers,District Sales Manager,x,
11-2022,Sales Managers,E-Commerce Director,,
11-2022,Sales Managers,Export Manager,x,
11-2022,Sales Managers,Regional Sales Manager,x,
11-2022,Sales Managers,Sales Account Manager,,
11-2022,Sales Managers,Sales Director,x,
11-2022,Sales Managers,Territory Sales Manager,,
11-2032,Public Relations Managers,Communication Manager,,
11-2032,Public Relations Managers,Public Affairs Director,x,
11-2032,Public Relations Managers,Public Information Director,,
11-2032,Public Relations Managers,Public Information Relations Manager,,
11-2032,Public Relations Managers,Public Relations Director,,
11-2032,Public Relations Managers,Public Relations Manager,,
11-2032,Public Relations Managers,Publicity Director,x,
11-2033,Fundraising Managers,Donor Relations Manager,x,
11-2033,Fundraising Managers,Foundation Director,x,
11-2033,Fundraising Managers,Funding Coordinator,x,
11-2033,Fundraising Managers,Fundraising Director,x,
11-3012,Administrative Services Managers,Business Office Manager,,
11-3012,Administrative Services Managers,Business Unit Manager,,
11-3012,Administrative Services Managers,Records and Information Manager,x,
11-3012,Administrative Services Managers,Records Management Director,x,
11-3012,Administrative Services Managers,University Registrar,x,
11-3013,Facilities Managers,Conference Center Manager,x,
11-3013,Facilities Managers,Director of University Housing,x,
11-3013,Facilities Managers,Stadium Manager,x,
11-3021,Computer and Information Systems Managers,Application Development Director,,
11-3021,Computer and Information Systems Managers,Chief Technology Officer,x,
11-3021,Computer and Information Systems Managers,Computer Operations Manager,,
11-3021,Computer and Information Systems Managers,Computer Security Manager,,
11-3021,Computer and Information Systems Managers,Data Operations Director,,
11-3021,Computer and Information Systems Managers,Data Processing Manager,,
11-3021,Computer and Information Systems Managers,Information Systems Director,,
11-3021,Computer and Information Systems Managers,Information Systems Manager,,
11-3021,Computer and Information Systems Managers,Information Technology Director,,
11-3021,Computer and Information Systems Managers,Information Technology Systems Director,x,
11-3021,Computer and Information Systems Managers,Internet Technology Manager,,
11-3021,Computer and Information Systems Managers,Management Information Systems Director,x,
11-3021,Computer and Information Systems Managers,MIS Director,,
11-3031,Financial Managers,Bank Branch Manager,x,
11-3031,Financial Managers,Banking Center Manager,,
11-3031,Financial Managers,Banking Manager,,
11-3031,Financial Managers,City Comptroller,,
11-3031,Financial Managers,City Treasurer,,
11-3031,Financial Managers,Comptroller,x,
11-3031,Financial Managers,Credit Manager,,
11-3031,Financial Managers,Financial Director,x,
11-3031,Financial Managers,Financial Officer,,
11-3031,Financial Managers,Fiscal Manager,,
11-3031,Financial Managers,International Bank Manager,,
11-3031,Financial Managers,Residential Mortgage Manager,,
11-3051,Industrial Production Managers,Industrial Production Manager,,
11-3051,Industrial Production Managers,Manufacturing Director,x,
11-3051,Industrial Production Managers,Plant Chief,,
11-3051,Industrial Production Managers,Plant Manager,x,
11-3051,Industrial Production Managers,Plant Superintendent,,
11-3051,Industrial Production Managers,Production Control Manager,x,
11-3061,Purchasing Managers,Contract Administrator,,
11-3061,Purchasing Managers,Contracting Manager,x,
