"Source: https://esube.iskur.gov.tr/Meslek/meslek.aspx -> click on ""Tüm meslek listesini görmek için tıklayınız",
ISCO-08 KODU,MESLEK ADI
110,Subaylar
110.01,Genel Kurmay Başkanı
110.02,Mareşal(Kara Kuvvetleri)
110.03,Mareşal(Hava Kuvvetleri)
110.04,Büyükamiral(Deniz Kuvvetleri)
110.05,Orgeneral (Kara Kuvvetleri)
110.06,Orgeneral(Hava Kuvvetleri)
110.07,Oramiral(Deniz Kuvvetleri)
110.08,Korgeneral (Kara Kuvvetleri)
110.09,Korgeneral (Hava Kuvvetleri)
110.1,Koramiral(Deniz Kuvvetleri)
110.11,Tümgeneral  (Kara Kuvvetleri)
110.12,Tümgeneral (Hava Kuvvetleri)
110.13,Tümamiral(Deniz Kuvvetleri)
110.14,Tuğgeneral (Kara Kuvvetleri)
110.15,Tuğgeneral (Hava Kuvvetleri)
110.16,Tuğamiral(Deniz Kuvvetleri)
110.17,Albay (Kara Kuvvetleri)
110.18,Albay (Hava Kuvvetleri)
110.19,Albay(Deniz Kuvvetleri)
110.2,Yarbay (Kara Kuvvetleri)
110.21,Yarbay (Hava Kuvvetleri)
110.22,Yarbay(Deniz Kuvvetleri)
110.23,Binbaşı (Kara Kuvvetleri)
110.24,Binbaşı (Hava Kuvvetleri)
110.25,Binbaşı(Deniz Kuvvetleri)
110.26,Yüzbaşı (Kara Kuvvetleri)
110.27,Yüzbaşı (Hava Kuvvetleri)
110.28,Yüzbaşı(Deniz Kuvvetleri)
110.29,Üsteğmen (Kara Kuvvetleri)
110.3,Üsteğmen (Hava Kuvvetleri)
110.31,Üsteğmen(Deniz Kuvvetleri)
110.32,Teğmen (Kara Kuvvetleri)
110.33,Teğmen (Hava Kuvvetleri)
110.34,Teğmen(Deniz Kuvvetleri)
110.35,Asteğmen (Kara Kuvvetleri)
110.36,Asteğmen (Hava Kuvvetleri)
110.37,Asteğmen(Deniz Kuvvetleri)
110.38,Orgeneral (Jandarma)
110.39,Korgeneral (Jandarma)
110.4,Tümgeneral (Jandarma)
110.41,Tuğgeneral (Jandarma)
110.42,Albay (Jandarma)
110.43,Yarbay (Jandarma)
110.44,Binbaşı (Jandarma)
110.45,Yüzbaşı (Jandarma)
110.46,Üsteğmen (Jandarma)
110.47,Teğmen (Jandarma)
110.48,Asteğmen (Jandarma)
110.49,Oramiral (Sahil Güvenlik)
110.5,Koramiral (Sahil Güvenlik)
110.51,Tümamiral (Sahil Güvenlik)
110.52,Tuğamiral (Sahil Güvenlik)
110.53,Albay (Sahil Güvenlik)
110.54,Yarbay (Sahil Güvenlik)
110.55,Binbaşı (Sahil Güvenlik)
110.56,Yüzbaşı (Sahil Güvenlik)
110.57,Üsteğmen (Sahil Güvenlik)
110.58,Teğmen (Sahil Güvenlik)
110.59,Asteğmen (Sahil Güvenlik)
210,Subay olmayan silahlı kuvvetlerin daimi mensupları
210.01,Astsubay Kıdemli Başçavuş (Kara Kuvvetleri)
210.02,Astsubay Kıdemli Başçavuş(Hava Kuvvetleri)
210.03,Astsubay Kıdemli Başçavuş(Deniz Kuvvetleri)
