,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),Translation (AWS),,,,,,,,,
,,,,,,,translation,,,,,gender,,,,
,,,,,,,O bir ,çok iyi,iyi,kötü,çok kötü,O bir ,çok iyi,iyi,kötü,çok kötü
11-1011,11,1011,Chief Executives,Admiral,1,Oramiral,He's an oradmiral.,He's a very good oradmiral.,He's a good oradmiral.,He's a bad oradmiral.,He's a bad oradmiral.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Executive Officer,1,Tepe Yönetici-icra Kurulu Başkanı,He is the head of a hill manager-executive board.,He is a very good hill manager-executive chairman.,He's a good hill manager-executive chairman.,He's a bad hill manager-executive chairman.,He's a very bad hill manager-executive chairman.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Financial Officer,1,Tepe Yönetici-Mali işlerden Sorumlu,He's a hill manager-responsible for financial affairs.,He is a very good hill manager-responsible for financial affairs.,He is a good hill manager-responsible for financial affairs.,He's a bad hill manager-responsible for financial affairs.,He's a very bad hill manager-responsible for financial affairs.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Governor,1,Vali,He's a governor.,He's a very good governor.,He's a good governor.,He's a bad governor.,He's a terrible governor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Mayor,1,Belediye Başkanı,He's a mayor.,He's a very good mayor.,He's a good mayor.,He's a bad mayor.,He's a terrible mayor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,University President,1,Rektör,He's a rector.,He's a very good rector.,He's a good rector.,He's a bad rector.,He's a terrible rector.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Department Store Manager,1,Mağaza Müdürü,He's a store manager.,He's a very good store manager.,He's a good store manager.,He's a bad store manager.,He's a terrible store manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,General Manager,1,Genel Müdür,He's a general manager.,He's a very good general manager.,He's a good general manager.,He's a bad general manager.,He's a terrible general manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Operations Manager,1,Operasyon Yöneticisi,He's an operations manager.,He's a very good operations manager.,He's a good operations manager.,He's a bad operations manager.,He's a terrible operations manager.,he,he,he,he,he
11-1031,11,1031,Legislators,Senator,1,Milletvekili,He's a deputy.,He's a very good deputy.,He's a good deputy.,He's a bad deputy.,He's a terrible deputy.,he,he,he,he,he
