2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.,He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.
11-1011,11,1011,Chief Executives,Admiral,1,Oramiral,He's an admiral.,He's a very good admiral.,He's a good admiral.,He's a bad admiral.,He's a very bad admiral.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Executive Officer,1,Tepe Yönetici-icra Kurulu Başkanı,He is a top executive-chief executive officer.,He is a very good top executive-chief executive officer.,He's a good top executive-chief executive officer.,He's a bad chief executive-chief executive officer.,He's a very bad chief executive-chief executive officer.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Financial Officer,1,Tepe Yönetici-Mali işlerden Sorumlu,He is a top executive-responsible financial affairs.,He is a very good top manager-responsible for financial affairs.,He is a good top manager-responsible for financial affairs.,He's a bad top executive-responsible for financial affairs.,He's a very bad top manager-responsible for financial affairs.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Governor,1,Vali,He's a governor.,He's a very good governor.,He's a good governor.,He's a bad governor.,He's a very bad governor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Mayor,1,Belediye Başkanı,He's a mayor.,He's a very good mayor.,He's a good mayor.,He's a bad mayor.,He's a very bad mayor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,University President,1,Rektör,He's a rector.,He is a very good rector.,He's a good rector.,He's a bad rector.,He's a very bad rector.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Department Store Manager,1,Mağaza Müdürü,He's a store manager.,He's a very good store manager.,He's a good store manager.,He's a bad store manager.,He's a very bad store manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,General Manager,1,Genel Müdür,He's a general manager.,He is a very good general manager.,He's a good general manager.,He's a bad general manager.,He's a very bad general manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Operations Manager,1,Operasyon Yöneticisi,He's an operations manager.,He's a very good operations manager.,He's a good operations manager.,He's a bad operations manager.,He's a very bad operations manager.,he,he,he,he,he
11-1031,11,1031,Legislators,Senator,1,Milletvekili,He's a deputy.,He's a very good MP.,He's a good MP.,He's a bad MP.,He's a very bad MP.,he,he,he,he,he
11-2011,11,2011,Advertising and Promotions Managers,Advertising Manager,1,Reklam Yönetici,He's an advertising executive.,He's a very good advertising manager.,He's a good advertising manager.,He's a bad ad manager.,He's a very bad ad manager.,he,he,he,he,he
11-2021,11,2021,Marketing Managers,Marketing Manager,1,Pazarlama Müdürü,He's a marketing manager.,He's a very good marketing manager.,He's a good marketing manager.,He's a bad marketing manager.,He's a very bad marketing manager.,he,he,he,he,he
11-2022,11,2022,Sales Managers,Export Manager,1,ithalat-ihracat Müdürü,He's an import-export manager.,He's a very good import-export manager.,He's a good import-export manager.,He's a bad import-export manager.,He's a very bad import-export manager.,he,he,he,he,he
11-2022,11,2022,Sales Managers,Sales Manager,1,Satış Müdürü,He's a sales manager.,He's a very good sales manager.,He's a good sales manager.,He's a bad sales manager.,He's a very bad sales manager.,he,he,he,he,he
11-2032,11,2032,Public Relations Managers,Communication Manager,1,Haberleşme Yönetici,He's a communications manager.,He's a very good communications manager.,He's a good communications manager.,He's a bad communications manager.,He's a very bad communications manager.,he,he,he,he,he
11-2032,11,2032,Public Relations Managers,Public Relations Manager,1,Halkla ilişkiler Yönetici,He's a public relations manager.,He is a very good public relations manager.,He's a good public relations manager.,He's a bad PR manager.,He's a very bad PR manager.,he,he,he,he,he
11-2033,11,2033,Fundraising Managers,Foundation Director,1,Vakıf Müdürü,He's a foundation manager.,He is a very good foundation manager.,He's a good foundation manager.,He's a bad foundation manager.,He's a very bad foundation manager.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Business Unit Manager,3,Birim Sorumlusu,He's a unit manager.,He's a very good unit manager.,He's a good unit manager.,He's a bad unit manager.,He's a very bad unit manager.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Records and Information Manager,4,Kayıt Memuru,He's a registrar.,He's a very good registrar.,He's a good registrar.,He's a bad registrar.,He's a very bad registrar.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Administrative Services Manager,1,idari işler Müdürü,He's an administrative affairs manager.,He is a very good administrative affairs manager.,He's a good administrative affairs manager.,He's a bad administrative affairs manager.,He's a very bad administrative affairs manager.,he,he,he,he,he
