2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.,He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.
11-1011,11,1011,Chief Executives,Admiral,1,Oramiral,He's an admiral.,He's a very good admiral.,He's a good admiral.,He's a bad admiral.,He's a terrible admiral.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Executive Officer,1,Tepe Yönetici-icra Kurulu Başkanı,He's a top executive-chief executive officer.,He's a very good chief executive-executive officer.,He's a good top executive-chief executive officer.,He's a bad hill executive-chief executive.,He's a terrible chief executive-executive officer.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Financial Officer,1,Tepe Yönetici-Mali işlerden Sorumlu,He's in charge of top executive-financial affairs.,He's a very good top executive-financial officer.,He's in charge of good top executive-financial affairs.,He's in charge of bad top executive-financial affairs.,He's in charge of a very bad top executive-financial affairs.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Governor,1,Vali,He's a governor.,He's a very good governor.,He's a good governor.,He's a bad governor.,He's a terrible governor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Mayor,1,Belediye Başkanı,He's a mayor.,He's a very good mayor.,He's a good mayor.,He's a bad mayor.,He's a terrible mayor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,University President,1,Rektör,He's a rector.,He's a very good rector.,He's a good rector.,He's a bad rector.,He's a terrible rector.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Department Store Manager,1,Mağaza Müdürü,He's a store manager.,He's a very good store manager.,He's a good store manager.,He's a bad store manager.,He's a terrible store manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,General Manager,1,Genel Müdür,He's a general manager.,He's a very good general manager.,He's a good general manager.,He's a bad general manager.,He's a terrible general manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Operations Manager,1,Operasyon Yöneticisi,He's an operations manager.,He's a very good operations manager.,He's a good operations manager.,He's a bad operations manager.,He's a terrible operations manager.,he,he,he,he,he
11-1031,11,1031,Legislators,Senator,1,Milletvekili,He's an MP.,He's a very good congressman.,He's a good congressman.,He's a bad congressman.,He's a terrible congressman.,he,he,he,he,he
