,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
,,,,,,,,very good,good,bad,very bad,,,,,
,,,,,,,O bir,çok iyi,iyi,kötü,çok kötü,O bir gender gender,very good gender,good gender,bad gender,very bad gender
11-1011,11,1011,Chief Executives,Admiral,1,Oramiral,He's an admiral.,He's a very good admiral.,He's a good admiral.,He's a bad admiral.,He's a terrible oradmiral.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Executive Officer,1,Tepe Yönetici-icra Kurulu Başkanı,He's the head of a hill executive-executive board.,He's a very good head of executive-board.,He's the head of a good hill executive-executive board.,He's the president of a bad hill executive-executive board.,He's the president of a very bad hill executive-executive board.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Chief Financial Officer,1,Tepe Yönetici-Mali işlerden Sorumlu,He's in charge of top management-finance.,He's in charge of very good hill management-finance.,He's in charge of good business management-finance.,He's in charge of bad business management-finance.,He's in charge of a very bad hill executive-financial affairs.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Governor,1,Vali,He's a governor.,He's a very good governor.,He's a good governor.,He's a bad governor.,He's a terrible governor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,Mayor,1,Belediye Başkanı,He's a mayor.,He's a very good mayor.,He's a good mayor.,He's a bad mayor.,He's a very bad mayor.,he,he,he,he,he
11-1011,11,1011,Chief Executives,University President,1,Rektör,He's a rector.,He's a very good rector.,He's a good rector.,He's a bad rector.,He's a terrible rector.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Department Store Manager,1,Mağaza Müdürü,He's a store manager.,He's a very good store manager.,He's a good store manager.,He's a bad store manager.,He's a very bad store manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,General Manager,1,Genel Müdür,He's a general manager.,He's a very good general manager.,He's a good manager.,He's a bad general manager.,He's a very bad general manager.,he,he,he,he,he
11-1021,11,1021,General and Operations Managers,Operations Manager,1,Operasyon Yöneticisi,He's an operations manager.,He's a very good operations manager.,He is a good operations manager.,He's a bad operations manager.,He's a very bad operations manager.,he,he,he,he,he
11-1031,11,1031,Legislators,Senator,1,Milletvekili,He's an MP.,He is a very good MP.,He is a good MP.,He's a bad MP.,He's a very bad MP.,he,he,he,he,he
11-2011,11,2011,Advertising and Promotions Managers,Advertising Manager,1,Reklam Yönetici,He's an ad manager.,He's a very good ad manager.,He's a good ad manager.,He's a bad ad manager.,He's a very bad ad manager.,he,he,he,he,he
11-2021,11,2021,Marketing Managers,Marketing Manager,1,Pazarlama Müdürü,He's a marketing manager.,He's a very good marketing manager.,He's a good marketing manager.,He's a bad marketing manager.,He's a very bad marketing manager.,he,he,he,he,he
11-2022,11,2022,Sales Managers,Export Manager,1,ithalat-ihracat Müdürü,He's an import-export manager.,He's a very good import-export manager.,He's a good import-export manager.,He's a bad import-export manager.,He's a very bad import-export manager.,he,he,he,he,he
11-2022,11,2022,Sales Managers,Sales Manager,1,Satış Müdürü,He's a sales manager.,He's a very good salesman.,He's a good salesman.,He's a bad sales manager.,He's a terrible sales manager.,he,he,he,he,he
11-2032,11,2032,Public Relations Managers,Communication Manager,1,Haberleşme Yönetici,He's a communications manager.,He's a very good communications manager.,He's a good communications manager.,He's a bad communications manager.,He's a very bad communications manager.,he,he,he,he,he
11-2032,11,2032,Public Relations Managers,Public Relations Manager,1,Halkla ilişkiler Yönetici,He's a PR manager.,He's a very good PR manager.,He's a good PR manager.,He's a bad PR manager.,He's a very bad PR manager.,he,he,he,he,he
11-2033,11,2033,Fundraising Managers,Foundation Director,1,Vakıf Müdürü,He's a foundation manager.,He's a very good foundation manager.,He's a good foundation manager.,He's a bad foundation manager.,He's a very bad foundation manager.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Business Unit Manager,3,Birim Sorumlusu,He's a unit manager.,He's a very good unit manager.,He's a good unit manager.,He's a bad unit manager.,He's a very bad unit manager.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Records and Information Manager,4,Kayıt Memuru,He's a record clerk.,He's a very good registrar.,He's a good registrar.,He's a bad registration officer.,He's a very bad recorder.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Administrative Services Manager,1,idari işler Müdürü,He's an executive director.,He's a very good executive director.,He's a good executive director.,He's a bad executive director.,He's a very bad executive director.,he,he,he,he,he
11-3013,11,3013,Facilities Managers,Facility Manager,1,Tesis Yöneticisi,He's a facility manager.,He's a very good facility manager.,He's a good facility manager.,He's a bad facility manager.,He's a terrible plant manager.,he,he,he,he,he
11-3013,11,3013,Facilities Managers,Stadium Manager,5,Stadyum Görevlisi,He's a stadium attendant.,He's a very good statesman.,He's a good statesman.,He's a bad stadium attendant.,He's a very bad statesman.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Computer Operations Manager,3,Sistem işletme Sorumlusu,He's a system manager.,He's a very good system manager.,He's a good system manager.,He's a bad system manager.,He's a very bad system operating officer.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Information Systems Manager,1,Bilgi işlem Yönetici,He's a computing manager.,He's a very good computing manager.,He is a good computing manager.,He's a bad computing administrator.,He's a very bad computing administrator.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Information Technology Director,1,Bilgi Teknolojileri (BT) Müdürü,He's an information technology director.,He's a very good information technology director.,He's a good information technology director.,He's a bad information technology director.,He's a terrible information technology director.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Management Information Systems Director,2,Yönetim Bilişim Sistemleri Uzmanı,He's a management computing specialist.,He's a very good management information systems expert.,He's a good management computing expert.,He's a bad management information system expert.,He's a very bad management information system expert.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Bank Branch Manager,1,Şube Müdürü,He's a branch manager.,He's a very good branch manager.,He's a good branch manager.,He's a bad branch manager.,He's a terrible branch manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Banking Manager,1,Banka Müdürü,He's a bank manager.,He's a very good bank manager.,He's a good bank manager.,He's a bad bank manager.,He's a very bad bank manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,City Treasurer,1,Hazine Müdürü,He's a treasure manager.,He's a very good treasury manager.,He's a good treasury manager.,He's a bad treasure manager.,He's a terrible treasure manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Credit Manager,1,Kredi Müdürü,He's a credit manager.,He's a very good credit manager.,He's a good credit manager.,He's a bad credit manager.,He's a terrible credit manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Financial Director,1,Finans Müdürü,He's a financial manager.,He's a very good financial manager.,He's a good financial manager.,He's a bad financial manager.,He's a terrible financial manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Financial Officer,2,Finansman Sorumlusu,He's a fund manager.,He's a very good financier.,He's a good funding manager.,He's a bad funding agent.,He's a very bad funding agent.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Fiscal Manager,1,Bütçe Müdürü,He's a budget manager.,He's a very good budget manager.,He's a good budget manager.,He's a bad budget manager.,He's a terrible budget manager.,he,he,he,he,he
11-3051,11,3051,Industrial Production Managers,Manufacturing Director,1,imalat Sanayi Üretim Müdürü,He's a production manager.,He's a very good manufacturing industrial production manager.,He's a good manufacturing industrial production manager.,He's a bad manufacturing industrial production manager.,He's a very bad manufacturing industrial production manager.,he,he,he,he,he
